歌名	演唱者	作詞	作曲	
最好的安排	曲婉婷	曲婉婷 Wanting / 尹約 Yin	曲婉婷 Wanting	取消收藏
你的姑娘	隔壁老樊	隔壁老樊	隔壁老樊	取消收藏
龍的傳人	王力宏	侯德健/王力宏(改編)	侯德健	取消收藏
我的未來不是夢	張雨生	陳家麗	翁孝良	取消收藏
聽媽媽的話	周杰倫	周杰倫	周杰倫	取消收藏
Jingle Bells	聖誕特輯	unknown	unknown	取消收藏
好想大聲說喜歡你(灌籃高手)	BAAD	山田恭二	多々納好夫	取消收藏
稍息立正站好	范曉萱	許常德	織田哲郎	取消收藏
小城夏天	LBI利比(時柏塵)	陶舊	盛驍	取消收藏
烏梅子醬	李榮浩	李榮浩	李榮浩	取消收藏
全世界我最喜歡你(可是你都不知道)	來吧！焙焙！	鄭焙隆	鄭焙隆	取消收藏
寫一首歌	順子	順子/Jeff C	順子	取消收藏
裙擺搖搖	李心潔	友弟	阿牛	取消收藏
如果沒有你	莫文蔚	李焯雄/左安安	左安安	取消收藏
轉眼	五月天	阿信	石頭	取消收藏
晴天	周杰倫	周杰倫	周杰倫	取消收藏
我不難過	孫燕姿	楊明學	李偲菘	取消收藏
達爾文	蔡健雅	小寒	蔡健雅	取消收藏
尋人啟事	徐佳瑩	Hush	黃建為	取消收藏
你是我唯一的執著	言承旭	徐世珍	黃韻玲	取消收藏
城市的浪漫運作	甜約翰	吳倬安	吳浚瑋、梁丹郡	取消收藏
我想和你一起	溫蒂漫步	俞曾妮	俞曾妮	取消收藏
踅夜市	拍謝少年	拍謝少年	拍謝少年	取消收藏
藉口	周杰倫	周杰倫	周杰倫	取消收藏
言不由衷	徐佳瑩	艾怡良	艾怡良	取消收藏
克卜勒	孫燕姿	Hush	Hush	取消收藏
沒有菸抽的日子	張雨生	王丹	張雨生	取消收藏
孤獨患者	陳奕迅	小寒	方大同	取消收藏
Honey Honey	孫燕姿	林一峰	林一峰	取消收藏
後來	劉若英	施人誠	玉城千春	取消收藏
風箏	陳昇	陳昇	李欣芸	取消收藏
一個人回家	盧凱彤	盧凱彤@ 人山人海	盧凱彤@ 人山人海	取消收藏
半生雪	是七叔呢	祝何	祝何	取消收藏
黑桃A	DJ小魚兒	DJ小魚兒	DJ小魚兒	取消收藏
踮起腳尖愛	洪佩瑜	小寒	蔡健雅	取消收藏
最長的電影	周杰倫	周杰倫	周杰倫	取消收藏
遇見	孫燕姿	易家揚	林一峰	取消收藏
倒帶人生	陳奕迅	葛大為	方大同	取消收藏
一天到晚游泳的魚	張雨生	許常德	陳復明	取消收藏
內疚	陳奕迅	陳奐仁/陳奕迅	陳奐仁/陳奕迅	取消收藏
阿飛的小蝴蝶	蕭敬騰	阿弟仔	阿弟仔	取消收藏
眉飛色舞	鄭秀文	廖瑩如	Joon-Young Choi	取消收藏
野百合也有春天	潘越雲	羅大佑	羅大佑	取消收藏
外婆的澎湖灣	潘安邦	葉佳修	葉佳修	取消收藏
小手拉大手	梁靜茹	Little Dose	Tsuji Ayano	取消收藏
你是我的眼	蕭煌奇	蕭煌奇	蕭煌奇	取消收藏
我只在乎你	鄧麗君	慎芝	Takashi Miki	取消收藏
愛情釀的酒	紅螞蟻	紅螞蟻	紅螞蟻	取消收藏
K歌之王	陳奕迅	林夕	陳輝陽	取消收藏
愛我別走	張震嶽	張震嶽	張震嶽	取消收藏
快樂天堂	群星	呂學海	陳復明	取消收藏
還是會	韋禮安	韋禮安	韋禮安	取消收藏
那些年	胡夏	九把刀	木村充利	取消收藏
修煉愛情	林俊傑	易家揚	林俊傑	取消收藏
你的背包	陳奕迅	林夕	蔡政勳	取消收藏
你快樂所以我快樂	王菲	林夕	張亞東	取消收藏
流星雨	F4	鄔裕康	平井堅	取消收藏
二十二	陶喆	陶喆/娃娃	陶喆	取消收藏
月亮代表誰的心	陶喆	孫儀/陶吉吉/娃娃	翁清溪/陶吉吉	取消收藏
沙灘	陶喆	娃娃	陶喆	取消收藏
藍色眼睛	展翼樂團	Yalu	Matt	取消收藏
告白氣球	周杰倫	方文山	周杰倫	取消收藏
你要的愛	戴佩妮	戴佩妮	戴佩妮	取消收藏
天黑黑	孫燕姿	廖瑩如/April	李偲菘	取消收藏
我還繞著你在旋轉	宇宙人	林忠諭/葛大為	林忠諭	取消收藏
愛像大海	李心潔	顏璽軒	李正帆	取消收藏
十二樓	李宗盛	李宗盛	李宗盛	取消收藏
可愛女人	周杰倫	徐若瑄	周杰倫	取消收藏
寶貝	安溥 (anpu)	張懸	張懸	取消收藏
星晴	周杰倫	周杰倫	周杰倫	取消收藏
愛情的模樣	五月天	阿信	阿信	取消收藏
寧夏	梁靜茹	李正帆	李正帆	取消收藏
夏夜晚風	伍佰	伍佰	伍佰	取消收藏
愛情廢柴	周杰倫	周杰倫	周杰倫	取消收藏
Yellow	Coldplay	Chris Martin	Chris Martin	取消收藏
讓我為你唱情歌	蕭敬騰	阿火	阿火	取消收藏
刻在我心底的名字	盧廣仲	許媛婷、佳旺、陳文華	許媛婷、佳旺、陳文華	取消收藏
學貓叫	小潘潘	小峰峰	小峰峰	取消收藏
水星記	郭頂	郭頂	郭頂	取消收藏
我看著你的時候	李榮浩	李榮浩	李榮浩	取消收藏
莉莉安	宋冬野	宋冬野	宋冬野	取消收藏
如果你冷	張雨生	楊立德	鈕大可	取消收藏
就忘了吧	WiFi歪歪	1K	1K	取消收藏
一直給	嚴爵	嚴云農	嚴爵	取消收藏
關於我們之間的事	張震嶽	張震嶽	張震嶽	取消收藏
抱著你	張震嶽	張震嶽	張震嶽	取消收藏
有一個姑娘	李榮浩	瓊瑤	李正帆	取消收藏
謝謝你的愛	李心潔	張震嶽	張震嶽	取消收藏
四季	A-Lin(黃麗玲)	A-Lin	Mad Soul Child	取消收藏
我愛的人	陳小春	施人誠	周杰倫	取消收藏
最後只好躺下來	黃立行	黃立行/崔惟楷	黃立行/JAE CHONG	取消收藏
淚海	許茹芸	季忠平/許常德	季忠平	取消收藏
當你孤單你會想起誰	張棟樑	莎莎	施盈偉	取消收藏
男人不該讓女人流淚	蘇永康	王中言	黃國倫	取消收藏
對面的女孩看過來	任賢齊	阿牛	阿牛	取消收藏
原來你什麼都不要	張惠妹	鄔裕康	郭子	取消收藏
你怎麼捨得我難過	黃品源	黃品源	黃品源	取消收藏
聽見下雨的聲音	魏如昀	方文山	周杰倫	取消收藏
今天妳要嫁給我	陶喆	陶喆/娃娃	陶喆	取消收藏
不能說的秘密	周杰倫	方文山	周杰倫	取消收藏
讓我們看雲去	陳明韶	鍾麗莉	黃大城	取消收藏
不只是朋友	丁噹	王中言	伍思凱	取消收藏
沒那麼簡單	黃小琥	姚若龍	蕭煌奇	取消收藏
隱形的翅膀	張韶涵	王雅君	王雅君	取消收藏
老鼠愛大米	王啟文	楊臣剛	楊臣剛	取消收藏
旅行的意義	陳綺貞	陳綺貞	陳綺貞	取消收藏
愛一直閃亮	羅美玲	瑞業	呂紹淳	取消收藏
如果有一天	梁靜茹	易齊	郭文賢	取消收藏
至少還有你	林憶蓮	林夕	Davy Chan	取消收藏
愛的初體驗	張震嶽	張震嶽	張震嶽	取消收藏
流浪到淡水	金門王	陳明章	陳明章	取消收藏
愛你一萬年	伍佰	林莉	大野剋夫	取消收藏
大約在冬季	齊秦	齊秦	齊秦	取消收藏
台北的天空	王芷蕾	陳克華	陳復明	取消收藏
無樂不作(海角七號)	范逸臣	嚴云農	范逸臣	取消收藏
千里之外	周杰倫	方文山	周杰倫	取消收藏
痴心絕對	李聖傑	蔡伯南	蔡伯南	取消收藏
分手快樂	梁靜茹	姚若龍	郭文賢	取消收藏
開始懂了	孫燕姿	姚若龍	李偲菘	取消收藏
愛很簡單	陶喆	娃娃	陶喆	取消收藏
新不了情	萬芳	黃鬱	鮑比達	取消收藏
用心良苦	張宇	十一郎	張宇	取消收藏
夢醒時分	陳淑樺	李宗盛	李宗盛	取消收藏
張三的歌	齊秦	張子石	張子石	取消收藏
小蘋果	筷子兄弟	王太利	王太利	取消收藏
菊花台	周杰倫	方文山	周杰倫	取消收藏
小情歌	蘇打綠	青峰	青峰	取消收藏
戀愛ing	五月天	阿信	阿信	取消收藏
找自己	陶喆	陶喆	陶喆	取消收藏
甜蜜蜜	鄧麗君	莊奴	印尼民歌	取消收藏
小薇	黃品源	阿弟	阿弟	取消收藏
李白	李榮浩	李榮浩	李榮浩	取消收藏
彩虹	周杰倫	周杰倫	周杰倫	取消收藏
背叛	曹格	阿丹/鄔裕康	曹格	取消收藏
暖暖	梁靜茹	李焯雄	人工衛星	取消收藏
知足	五月天	阿信	阿信	取消收藏
童話	光良	光良	光良	取消收藏
朋友	周華健	劉思銘	劉志宏	取消收藏
記得	林俊傑	易家楊	林俊傑	取消收藏
安靜	周杰倫	周杰倫	周杰倫	取消收藏
溫柔	五月天	阿信	阿信	取消收藏
征服	那英	袁惟仁	袁惟仁	取消收藏
愛情	莫文蔚	張洪量	張洪量 姚謙	取消收藏
被動	伍佰	潘麗玉	伍佰	取消收藏
聽海	張惠妹	林秋離	涂惠源	取消收藏
解脫	張惠妹	姚若龍	許華強	取消收藏
情書	張學友	姚若龍	戚小戀	取消收藏
分享	伍思凱	姚謙	伍思凱	取消收藏
認錯	優客李林	李驥	李驥	取消收藏
童年	羅大佑	羅大佑	羅大佑	取消收藏
晚安曲	費玉清	劉家昌	劉家昌	取消收藏
紅顏如霜	周杰倫	方文山	周杰倫	取消收藏
一路向北	周杰倫	方文山	周杰倫	取消收藏
勢在必行	陳勢安	戴佩妮	戴佩妮	取消收藏
天下的媽媽都是一樣的	楊耀東	楊耀東	楊耀東	取消收藏
光著我的腳丫子	戴佩妮	戴佩妮	戴佩妮	取消收藏
小小	戴佩妮	Penny	Penny	取消收藏
擱淺	周杰倫	宋健彰	周杰倫	取消收藏
愛人錯過	告五人	潘雲安	潘雲安	取消收藏
我在想你的時候睡著了	脫拉庫樂團	張國璽	張國璽	取消收藏
飛向陽光飛向你	脫拉庫樂團	張國璽	張國璽	取消收藏
愛情青紅燈	脫拉庫樂團	張國璽	張國璽	取消收藏
巴士底之日	回聲樂團(ECHO)	回聲樂團	回聲樂團	取消收藏
月旁月光	怕胖團	閃亮(謝侃均 Hsieh Kan-Chu	閃亮(謝侃均 Hsieh Kan-Chu	取消收藏
拋物線	蔡健雅	小寒	蔡健雅	取消收藏
隨你	張雨生	張雨生	張雨生	取消收藏
未接來電	楊乃文	鄭文華	張震嶽	取消收藏
應該	楊乃文	陳珊妮	陳珊妮	取消收藏
有星星的晚上	旺福	姚小民	姚小民	取消收藏
當我們不在一起	四分衛	陳如山	陳如山	取消收藏
我給的愛	楊乃文	張震嶽	張震嶽	取消收藏
Lost Stars	Maroon 5(魔力紅)	Maroon 5	Maroon 5	取消收藏
最重要的決定	范瑋琪	姚若龍	陳小霞	取消收藏
忠孝東路走九遍	動力火車	鄔裕康	郭子	取消收藏
接受	梁靜茹	阿管	林毅心	取消收藏
會呼吸的痛	梁靜茹	姚若龍	宇恆	取消收藏
踏山河	是七叔呢	祝何	祝何	取消收藏
陪我去青康藏高原	盧廣仲	盧廣仲	盧廣仲	取消收藏
只有夜來香	盧廣仲	討海人	鍾成虎、盧廣仲	取消收藏
董小姐	宋冬野	宋冬野	宋冬野	取消收藏
Baby Shark Dance	Pinkfong	Shawnee Lamb	Robin Davies	取消收藏
失去	同恩	許哲珮	許哲珮	取消收藏
當冬夜漸暖	孫燕姿	藤井樹(吳子雲)	饒善強	取消收藏
我懷念的	孫燕姿	姚若龍	李偲菘	取消收藏
咖啡	張學友	何啟弘	黃韻玲	取消收藏
九號球	五月天	阿信	怪獸	取消收藏
愛你	陳芳語	黃祖蔭	Skot Suyama / Kimber	取消收藏
雙棲動物	蔡健雅	小寒	黃韻仁	取消收藏
浪人情歌	伍佰	吳俊霖	吳俊霖	取消收藏
帥到分手	周湯豪	周湯豪,崔惟楷	周湯豪	取消收藏
大海	張雨生	陳大力	陳大力/陳秀男	取消收藏
謝謝妳愛我	謝和弦	謝和弦	謝和弦	取消收藏
忽然之間	莫文蔚	周耀輝/李焯雄	林健華	取消收藏
聽爸爸的話	周杰倫	周杰倫	周杰倫	取消收藏
愛情轉移	陳奕迅	林夕	澤日生	取消收藏
蝸牛	周杰倫	周杰倫	周杰倫	取消收藏
口是心非	張雨生	張雨生	張雨生	取消收藏
My Anata	陶喆	陶吉吉/娃娃	陶吉吉	取消收藏
Susan說	陶喆	李焯雄	陶喆	取消收藏
不愛我就拉倒	周杰倫	周杰倫、彈頭(宋健彰)	周杰倫	取消收藏
算什麼男人	周杰倫	周杰倫	周杰倫	取消收藏
模特	李榮浩	周耀輝	李榮浩	取消收藏
囂張	en	李藝皓	李藝皓	取消收藏
我喜歡(不我愛)	嚴爵	嚴爵	嚴爵	取消收藏
末班車	蕭煌奇	馬嵩惟	李偉菘	取消收藏
Tears In Heaven	Eric Clapton	Eric Patrick Clapton	Will Jennings	取消收藏
Yesterday	The Beatles(披頭四樂團)	Paul Mccartney	Paul Mccartney	取消收藏
Wonderwall	Oasis	Oasis	Oasis	取消收藏
Wonderful Tonight	Eric Clapton	Eric Patrick Clapton	Eric Patrick Clapton	取消收藏
Hey Jude	The Beatles(披頭四樂團)	John Lennon	Paul McCartney	取消收藏
Can't take my eyes off you	MUSE(繆斯樂隊)	unknown	unknown	取消收藏
How Deep Is Your Love	Bee Gees(比吉斯)	Barry Gibb / Maurice	Barry Gibb / Maurice	取消收藏
The Scientist	Coldplay	Coldplay	Coldplay	取消收藏
Take Me Home Country Roads	John Denver	John Denver	John Denver	取消收藏
We Wish You a Merry Christmas	聖誕特輯	unknown	unknown	取消收藏
Santa Claus Is Coming To Town	聖誕特輯	unknown	unknown	取消收藏
也許像星星	929樂團	吳志寧	吳志寧	取消收藏
你敢不敢	徐佳瑩	葛大為	徐佳瑩	取消收藏
終究還是因為愛	TRASH樂團	阿夜	阿夜	取消收藏
普通朋友	陶喆	陶喆、娃娃	陶喆	取消收藏
想把你拍成一部電影	宇宙人	小玉 林忠諭	DAVID、MACK、LOUIGUY	取消收藏
T1213121	五月天	五月天	五月天	取消收藏
Call Me Maybe	Carly Rae Jepsen(卡莉·蕾·潔普森)	unknown	unknown	取消收藏
賀新年	龍飄飄	陸麗 (嚴折西)	候湘 (李厚襄)	取消收藏
新年快樂	小虎隊	陳樂融	陳秀男	取消收藏
恭喜恭喜	佚名	陳歌辛	陳歌辛	取消收藏
Silent Night	聖誕特輯	unknown	unknown	取消收藏
平安夜	聖誕特輯	unknown	unknown	取消收藏
路過人間	郁可唯	施人誠	張簡君偉	取消收藏
天真有邪	林宥嘉	黃偉文	林宥嘉	取消收藏
誰	蔡健雅	蔡健雅	蔡健雅	取消收藏
Happy!!! 運將情歌	茄子蛋	黃奇斌	黃奇斌	取消收藏
猜心	萬芳	十一郎	張宇	取消收藏
給你們	張宇	十一郎	張宇	取消收藏
陪我看日出	蔡淳佳	梁文福	Begin	取消收藏
深情海岸	詹雅雯	詹雅雯	詹雅雯	取消收藏
思慕的人	葉啟田	葉俊麟	洪一峰	取消收藏
恰似你的溫柔	蔡琴	梁弘志	梁弘志	取消收藏
孤單北半球	林依晨	Benny.C(陳靜楠)	方文良	取消收藏
天天想你	張雨生	陳樂融	陳志遠	取消收藏
勇氣	梁靜茹	瑞業	光良	取消收藏
情非得已	庾澄慶	張國祥	湯小康	取消收藏
訣愛	詹雯婷	姜楠/陳恬	姜楠/陳恬	取消收藏
比較愛	梁靜茹	陳珊妮	陳珊妮	取消收藏
Fly Away	梁靜茹	陳沒/張天成	藍奕邦	取消收藏
目及皆是你	小藍背心	陶舊	常金	取消收藏
好久不見	陳奕迅	施立	陳小霞	取消收藏
突然好想你	五月天	阿信	阿信	取消收藏
走建國路回家但後座少ㄌ泥	林鼎原	林鼎原	林鼎原	取消收藏
浪費愛情	小安(陳信安)	馬嵩惟	小安	取消收藏
Fly Me To The Moon	Olivia Ong (王儷婷)	Bart Howard	Bart Howard	取消收藏
我想你的快樂是因為我(十七歲的天空)	洛客班	王爺	王爺	取消收藏
當你	王心凌	張思爾	林俊傑	取消收藏
月光	王心凌	Sugiyama Kouichi 談曉珍	橋本淳	取消收藏
不再讓你孤單	陳昇	陳昇	陳昇	取消收藏
把悲傷留給自己	陳昇	陳昇	陳昇	取消收藏
手放開	李聖傑	十方	方文良	取消收藏
天后	陳勢安	彭學斌	彭學斌	取消收藏
只能勇敢	蕭煌奇	姚若龍	蕭煌奇	取消收藏
愛情限時批	伍佰	伍佰	伍佰	取消收藏
純真	五月天	阿信	阿信	取消收藏
人生海海	五月天	阿信	阿信	取消收藏
回到過去	周杰倫	劉畊宏	周杰倫	取消收藏
說好不哭	周杰倫	方文山	周杰倫	取消收藏
不如這樣	陳奕迅	林夕	陳偉	取消收藏
我很好騙	動力火車	施人誠	阿沁(FIR)、盧家宏	取消收藏
比我幸福	陳曉東	陳靜楠	李偉菘/李景昇	取消收藏
一樣的月光	蘇芮	羅大佑/吳念真	李壽全	取消收藏
月亮代表我的心	鄧麗君	孫儀	翁清渓	取消收藏
懸崖	齊秦	許常德	許常德	取消收藏
I Believe	范逸臣	阿怪	Kim Hyung Seok	取消收藏
別再想見我	許光漢	戴佩妮	戴佩妮	取消收藏
情歌	梁靜茹	陳沒	伍冠諺	取消收藏
如果可以(月老)	韋禮安	九把刀	韋禮安／JerryC	取消收藏
只能想念你	蕭敬騰	蔡健雅	蔡健雅	取消收藏
Without You	高爾宣 OSN	高爾宣 OSN	高爾宣 OSN、Skot Suyama	取消收藏
嘉賓	張遠	王澤言、張遠	王澤言	取消收藏
獨上C樓	黃宣	姚小民, 黃宣YELLOW	黃宣YELLOW	取消收藏
乾杯	五月天	阿信	阿信	取消收藏
來自天堂的魔鬼	鄧紫棋	G.E.M. 鄧紫棋	G.E.M. 鄧紫棋	取消收藏
誰	李友廷	李友廷	李友廷	取消收藏
Last Order	陳奕迅	黃偉文	Eric Kwok	取消收藏
海洋	陳建年	陳建年	陳建年	取消收藏
紅豆	王菲	林夕	柳重言	取消收藏
追光者(夏至未至)	岑寧兒	唐恬	馬敬	取消收藏
天黑請閉眼	陳零九	陳零九 Nine Chen	邱鋒澤 Feng Ze / 陳零九 Ni	取消收藏
慢慢喜歡你	莫文蔚	李榮浩	李榮浩	取消收藏
少年	夢然	夢然	夢然	取消收藏
演員	薛之謙	薛之謙	薛之謙	取消收藏
體面	于文文	唐恬	于文文	取消收藏
披星戴月的想你	告五人	大象	潘少	取消收藏
行星	理想混蛋	邱建豪	邱建豪、郭哲成	取消收藏
滯留鋒	理想混蛋	邱建豪	邱建豪	取消收藏
飛鳥和蟬	任然	耕耕	Kent王健	取消收藏
小星星	張震嶽	張震嶽	張震嶽	取消收藏
不刪	井朧	閆驍男/張娉言	閆驍男	取消收藏
以後別做朋友	周興哲	吳易緯	周興哲	取消收藏
你啊你啊	魏如萱	魏如萱	魏如萱	取消收藏
幾分之幾(花甲大人轉男孩)	盧廣仲	盧廣仲	盧廣仲	取消收藏
夜空中最亮的星	逃跑計劃	逃跑計劃	逃跑計劃	取消收藏
小幸運	田馥甄	徐世珍、吳輝福	Jerry C	取消收藏
擁抱	五月天	阿信	阿信	取消收藏
Last dance	伍佰	伍佰	伍佰	取消收藏
太陽	邱振哲	邱振哲	邱振哲	取消收藏
紅蓮華(鬼滅之刃)	LiSA(リサ)	LiSA	草野華余子	取消收藏
魚仔(花甲男孩轉大人)	盧廣仲	盧廣仲	盧廣仲	取消收藏
好想你	四葉草	黃明志	黃明志	取消收藏
想見你想見你想見你	八三夭	八三夭阿璞	八三夭阿璞	取消收藏
